SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-30-2020,Single Family Residential,4 Waterview,Cornwall-On-Hudson,NY,12520,685000,5,2,Cornwall On Hudson,2974,47916,1952,206,230,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/4-Waterview-Mdw-12520/home/54918385,OneKey,H6048414,N,Y,41.4438273,-74.0072515
PAST SALE,December-16-2020,Single Family Residential,22 Grand St,Cornwall,NY,12518,385000,3,2,Cornwall,1638,4792,1926,159,235,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/22-Grand-St-12518/home/72610069,OneKey,H6068214,N,Y,41.4364794,-74.0359106
MLS Listing,NA,Single Family Residential,227 Taylor Rd,Cornwall,NY,12518,389900,4,1.5,Cornwall,2280,52272,1937,3,171,NA,Active,NA,NA,http://www.redfin.com/NY/CORNWALL/227-TAYLOR-RD-12518/home/72580034,OneKey,H6116637,N,Y,41.419195,-74.087998
MLS Listing,NA,Single Family Residential,60 Angola Rd,Cornwall,NY,12518,299900,3,1.5,Cornwall,1128,8712,1960,3,266,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall/60-Angola-Rd-12518/home/54878467,OneKey,H6100614,N,Y,41.4305516,-74.0387564
MLS Listing,NA,Single Family Residential,11 Mccanns Ln,Cornwall,NY,12518,695000,4,2.5,Cornwall,2530,12632,2021,16,275,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall/11-Mc-Canns-Ln-12518/home/54988149,OneKey,H6113411,N,Y,41.438116,-74.028603
MLS Listing,NA,Single Family Residential,18 Robert Rd,Cornwall,NY,12518,499000,3,2.5,Cornwall,2194,29185,1965,18,227,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall/18-Robert-Rd-12518/home/54866406,OneKey,H6112579,N,Y,41.4311438,-74.0316418
MLS Listing,NA,Single Family Residential,4 Westlin Ln,Cornwall,NY,12518,399000,3,2,Cornwall,2361,87120,1928,19,169,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall/4-Westlin-Ln-12518/home/72589652,OneKey,H6111674,N,Y,41.4093252,-74.0511718
MLS Listing,NA,Single Family Residential,317 Angola Rd,Cornwall,NY,12518,365000,3,1,Cornwall,1228,52272,1972,28,297,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall/317-Angola-Rd-12518/home/72579973,OneKey,H6110997,N,Y,41.415642,-74.050644
MLS Listing,NA,Single Family Residential,24 Knoll Crest Ct,Cornwall,NY,12518,514200,3,2.5,Stone Hollow,2038,92478,2021,108,252,NA,Active,NA,NA,http://www.redfin.com/NY/CORNWALL/24-KNOLL-CREST-CT-12518/home/72608931,OneKey,H6095153,N,Y,41.446269,-74.037505
New Construction Home,NA,Single Family Residential,4 Knoll Crest Ct,Cornwall,NY,12518,609900,3,3,Stone Hollow at Cornwall,2488,NA,2018,1030,245,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall/4-Knoll-Crest-Ct-12518/home/72608861,NewHomeSource.com,1387215,N,Y,41.4432702,-74.042107
New Construction Plan,NA,Single Family Residential,The Daphne,Cornwall,NY,12518,514200,3,2.5,Stone Hollow at Cornwall,2038,NA,NA,NA,252,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall/Stone-Hollow-at-Cornwall/The-Daphne/home/169862464,NewHomeSource.com,Plan-161434301,N,Y,41.4432702,-74.042107
PAST SALE,March-31-2021,Single Family Residential,56 Angola Rd,Cornwall,NY,12518,465500,3,2,Cornwall,1824,10019,1954,54,255,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/56-Angola-Rd-12518/home/72589755,OneKey,H6091298,N,Y,41.4307516,-74.0386875
PAST SALE,December-3-2020,Single Family Residential,14 Howard St,Cornwall,NY,12518,264500,2,1,Cornwall,1199,8276,1907,172,221,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/14-Howard-St-12518/home/54896856,OneKey,H6067272,N,Y,41.4449031,-74.0466061
PAST SALE,NA,Single Family Residential,15 Hawksnest Rd,Cornwall,NY,12518,545000,3,2.5,NA,2158,152460,1980,NA,253,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/15-Hawksnest-Rd-12518/home/72610111,NA,NA,N,Y,41.4042791,-74.0474771
PAST SALE,March-29-2021,Single Family Residential,195 Willow Ave,Cornwall,NY,12518,285000,3,1.5,Cornwall,1236,7405,1888,56,231,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/195-Willow-Ave-12518/home/54900123,OneKey,H6083384,N,Y,41.4433589,-74.0456707
